guest_email,has_rewards,room_type,amenities_fee,checkin_date,checkout_date,room_rate,billing_address,credit_card_number
megan16@example.com,False,DELUXE,21.763633084237917,19 Dec 2020,2020-12-02,247.74,sdv-pii-bao8j,4236533757818784
albertmerritt@example.org,False,SUITE,4.395759357305254,29 Jan 2020,2020-08-31,222.81,sdv-pii-nynuq,6011665903616013
markbell@example.com,True,BASIC,44.085438280542974,09 May 2020,2020-10-18,83.8,sdv-pii-i8egs,501837003083
michael75@example.net,False,BASIC,39.44040177286411,09 Aug 2020,2020-07-21,171.67,sdv-pii-8w5ze,30344120680844
fbrown@example.org,False,SUITE,35.10950006737541,05 Jan 2020,2020-08-26,96.36,sdv-pii-6p6u4,2720010339694709
hollymiller@example.net,False,BASIC,9.38508585728568,22 Aug 2020,2020-11-03,97.34,sdv-pii-5foee,6011132754281769
tarabradford@example.org,False,SUITE,10.192690723902453,11 Apr 2020,2020-05-09,83.92,sdv-pii-kix07,4420246787887
fischerjulie@example.com,True,SUITE,14.469679556659356,09 Aug 2020,2020-02-03,321.24,sdv-pii-v4xd6,30303375810530
eknox@example.com,False,SUITE,25.384381079241237,28 Mar 2020,2020-10-22,140.96,sdv-pii-vkcri,3599745465919109
evelyn32@example.net,True,BASIC,14.129434131897014,02 Jun 2020,2020-09-14,93.71,sdv-pii-3c268,348376159076566
qdurham@example.com,True,BASIC,26.432945348999766,16 May 2020,2020-01-07,94.05,sdv-pii-es09r,342603193121173
gwillis@example.com,True,SUITE,28.231992979223776,17 May 2020,2020-03-02,118.55,sdv-pii-n0yo3,4172248490412
klevy@example.com,False,SUITE,5.909590622489073,01 Apr 2020,2020-12-15,108.19,sdv-pii-epr5d,4958787788587448
christine67@example.com,True,DELUXE,28.873788415409788,08 Sep 2020,2020-09-20,96.7,sdv-pii-0h3dh,180010065744485
nicolemiller@example.org,False,BASIC,32.34815005278085,25 Oct 2020,2020-08-23,178.37,sdv-pii-99dhf,3528406644976322
gina69@example.net,True,SUITE,0.38131218566442215,09 Aug 2020,2020-08-08,286.87,sdv-pii-15eun,3503062273798039
smartinez@example.net,True,SUITE,28.39894321972998,10 Dec 2020,2020-08-06,143.08,sdv-pii-ro41m,30180845301518
schaefermelissa@example.com,False,BASIC,44.330964335043674,05 Aug 2020,2020-12-05,111.09,sdv-pii-h32gh,36271487486941
johnsonanne@example.org,True,BASIC,36.13559749958939,09 Mar 2020,2020-01-07,201.0,sdv-pii-2338b,180089659232347
newtonsusan@example.com,True,SUITE,6.757426129362888,21 Nov 2020,2020-03-21,99.56,sdv-pii-9xw37,213109924618376
fisherkenneth@example.com,False,BASIC,20.461577552975758,22 Mar 2020,2020-11-20,128.04,sdv-pii-8w4xg,3521524120866416
cindy51@example.com,False,SUITE,32.06385214368108,05 Jan 2020,2021-01-08,97.24,sdv-pii-4lhdb,4442932081486060737
dawnball@example.com,False,BASIC,21.37458338822688,05 Jan 2020,2020-01-07,192.59,sdv-pii-olxbx,6517652323151499
kirkmatthew@example.com,False,BASIC,23.904339676733482,04 Apr 2020,2020-08-16,118.54,sdv-pii-0cgwx,213175230461298
bmartinez@example.org,True,SUITE,0.0,15 Jul 2020,2020-03-24,215.67,sdv-pii-zp3d2,4150255373308733
burgessdylan@example.net,False,SUITE,27.60011724808598,27 Dec 2020,2020-08-31,213.38,sdv-pii-7usm3,4813532172592299255
tapiaamy@example.org,False,BASIC,13.869438988588023,29 May 2020,2020-10-05,142.48,sdv-pii-ddz6n,3575637398190544
fmontoya@example.com,False,BASIC,23.49471679069365,27 Feb 2020,2020-01-07,149.67,sdv-pii-34wr5,30388772994110
matthewthompson@example.org,False,BASIC,41.46663768725773,13 Nov 2020,2020-11-12,189.4,sdv-pii-am2hy,2449959330753585
kevin25@example.org,True,BASIC,25.35898946257653,11 Sep 2020,2020-06-14,118.47,sdv-pii-iog23,30495368896870
