guest_email,has_rewards,room_type,amenities_fee,checkin_date,checkout_date,room_rate,billing_address,credit_card_number
megan16@example.com,False,DELUXE,29.661572220829346,19 Sep 2020,2020-06-14,162.86,sdv-pii-bao8j,4236533757818784
albertmerritt@example.org,False,SUITE,11.978723345803278,27 Feb 2020,2020-11-26,215.04,sdv-pii-nynuq,6011665903616013
markbell@example.com,False,BASIC,44.3730808412854,07 Jan 2020,2020-11-03,171.41,sdv-pii-i8egs,501837003083
michael75@example.net,False,BASIC,28.05488880214879,03 Mar 2020,2020-04-02,176.37,sdv-pii-8w5ze,30344120680844
fbrown@example.org,False,SUITE,36.20164496464929,24 Dec 2020,2020-07-06,83.8,sdv-pii-6p6u4,2720010339694709
hollymiller@example.net,False,BASIC,22.566364366306466,21 Sep 2020,2020-03-14,116.0,sdv-pii-5foee,6011132754281769
tarabradford@example.org,False,SUITE,12.389651142903121,01 May 2020,2020-09-16,99.37,sdv-pii-kix07,4420246787887
fischerjulie@example.com,False,SUITE,25.6063051260178,17 Feb 2020,2020-08-18,271.81,sdv-pii-v4xd6,30303375810530
eknox@example.com,False,SUITE,9.778434659661135,12 Mar 2020,2020-12-16,140.31,sdv-pii-vkcri,3599745465919109
evelyn32@example.net,True,BASIC,19.819984910846586,19 Jul 2020,2020-01-30,103.29,sdv-pii-3c268,348376159076566
qdurham@example.com,True,BASIC,25.85578862921575,24 Jan 2020,2020-01-07,83.8,sdv-pii-es09r,342603193121173
gwillis@example.com,True,SUITE,31.419395619480866,18 Sep 2020,2020-07-11,197.89,sdv-pii-n0yo3,4172248490412
klevy@example.com,False,SUITE,6.285748587183667,28 Feb 2020,2020-07-08,109.37,sdv-pii-epr5d,4958787788587448
christine67@example.com,True,DELUXE,30.41438116819684,06 Feb 2020,2020-09-20,115.09,sdv-pii-0h3dh,180010065744485
nicolemiller@example.org,False,BASIC,43.98231575246308,27 Sep 2020,2020-01-11,131.92,sdv-pii-99dhf,3528406644976322
gina69@example.net,True,SUITE,7.040510032657771,10 Jul 2020,2021-01-01,193.05,sdv-pii-15eun,3503062273798039
smartinez@example.net,True,BASIC,22.31685011518126,06 Jun 2020,2020-12-02,114.56,sdv-pii-ro41m,30180845301518
schaefermelissa@example.com,False,BASIC,27.549741786035817,20 Jan 2020,2020-04-26,276.89,sdv-pii-h32gh,36271487486941
johnsonanne@example.org,True,BASIC,26.650514445675086,14 Jul 2020,2020-04-26,152.7,sdv-pii-2338b,180089659232347
newtonsusan@example.com,False,SUITE,29.51266680601428,08 Nov 2020,2020-09-30,144.4,sdv-pii-9xw37,213109924618376
fisherkenneth@example.com,False,BASIC,21.455108497156484,04 Jul 2020,2020-06-08,110.07,sdv-pii-8w4xg,3521524120866416
cindy51@example.com,False,SUITE,31.221505650805625,13 Mar 2020,2020-01-12,132.72,sdv-pii-4lhdb,4442932081486060737
dawnball@example.com,False,BASIC,25.442246782491836,05 Jan 2020,2020-01-07,136.54,sdv-pii-olxbx,6517652323151499
kirkmatthew@example.com,False,BASIC,31.72827311362584,07 Sep 2020,2021-01-08,107.09,sdv-pii-0cgwx,213175230461298
bmartinez@example.org,True,SUITE,21.490900264081905,29 Apr 2020,2020-02-14,133.33,sdv-pii-zp3d2,4150255373308733
burgessdylan@example.net,False,SUITE,25.30862829261805,08 Jun 2020,2020-08-06,257.87,sdv-pii-7usm3,4813532172592299255
tapiaamy@example.org,False,BASIC,48.12,24 Apr 2020,2020-06-24,188.13,sdv-pii-ddz6n,3575637398190544
fmontoya@example.com,False,BASIC,32.37366628091238,09 Mar 2020,2020-03-24,131.85,sdv-pii-34wr5,30388772994110
matthewthompson@example.org,False,BASIC,48.12,23 Jun 2020,2020-10-25,113.31,sdv-pii-am2hy,2449959330753585
kevin25@example.org,True,BASIC,31.39667193024777,14 Oct 2020,2020-02-01,130.73,sdv-pii-iog23,30495368896870
andrewdennis@example.com,True,BASIC,36.42749113610418,25 Oct 2020,2020-01-07,299.95,sdv-pii-jfnjx,4302419229561914
theresa71@example.com,False,DELUXE,0.37005024619824134,11 Jun 2020,2020-11-02,133.77,sdv-pii-473na,349003899042836
ldavis@example.org,False,BASIC,27.73219025690796,20 Aug 2020,2020-04-20,91.09,sdv-pii-k6q63,4826210476954705
jasonmason@example.net,False,BASIC,14.559081499460627,24 Apr 2020,2020-01-07,234.54,sdv-pii-i9mmj,4694020769303404570
davidvasquez@example.org,False,BASIC,28.627072125613928,21 Aug 2020,2020-01-07,151.68,sdv-pii-vl5qg,5411313193415303
jbolton@example.com,True,SUITE,7.110704369304473,06 Jul 2020,2020-08-29,225.46,sdv-pii-db30h,376954866983095
sullivanrandy@example.com,False,BASIC,13.814317582287218,12 Jul 2020,2020-01-07,116.7,sdv-pii-ss9ha,6501595876768466
oreeves@example.org,False,BASIC,10.085308492745813,27 Jan 2020,2020-02-21,243.75,sdv-pii-973lx,4981424194559073
robynscott@example.org,False,BASIC,33.564592410288526,01 Jun 2020,2020-09-15,140.05,sdv-pii-6omls,213140218420328
clarkallison@example.com,False,BASIC,27.36590996247611,11 Sep 2020,2020-10-10,379.53,sdv-pii-8inpv,213185310722725
kwilliams@example.com,False,BASIC,31.65923722001453,20 Oct 2020,2020-04-09,166.51,sdv-pii-v923d,4174770130069
hudsonbradley@example.com,False,DELUXE,34.43630446377737,05 Mar 2020,2020-01-24,190.9,sdv-pii-3o3xm,3582819958052279
hernandezbrittany@example.com,False,DELUXE,21.845813691997076,21 May 2020,2020-10-29,209.5,sdv-pii-7qxqe,30383591890771
thompsonjames@example.org,False,DELUXE,31.858341377213605,10 Apr 2020,2020-10-08,108.66,sdv-pii-kpnjj,4842893643974
kvargas@example.org,True,DELUXE,12.93529989940564,24 Jul 2020,2020-01-07,96.13,sdv-pii-5aro1,213124957140354
greenheather@example.org,False,BASIC,33.997843004567734,22 Feb 2020,2020-01-20,138.07,sdv-pii-gb4o8,3592293657919675
amandalawrence@example.org,False,BASIC,5.210328876336918,18 May 2020,2020-10-25,179.47,sdv-pii-sca37,342033264538875
torrescassandra@example.org,True,DELUXE,15.482241432851525,06 Jul 2020,2020-01-07,103.92,sdv-pii-5oj7f,4312540105667232
johnathanwright@example.com,False,DELUXE,8.186333575138807,25 Jul 2020,2020-08-07,254.52,sdv-pii-gqqc4,374594629858515
hwebster@example.org,True,BASIC,1.1056011385806805,01 Nov 2020,2020-09-08,127.63,sdv-pii-c114a,4190929662322015074
jonathan86@example.com,False,DELUXE,0.0,13 Aug 2020,2020-02-23,179.33,sdv-pii-kfwuf,340714119965759
huertasteve@example.net,True,SUITE,18.21603167987565,05 Jan 2020,2020-05-08,245.67,sdv-pii-zz8dm,6500938348159966
vincentwalker@example.net,True,DELUXE,41.03731187061997,29 Jul 2020,2020-01-07,137.82,sdv-pii-q0erv,4053772879736603
alexa15@example.org,False,BASIC,30.7211703925872,26 Jun 2020,2020-07-22,220.76,sdv-pii-ornf3,3561771152683315
fwoods@example.com,True,BASIC,8.446962234451899,05 Jan 2020,2020-01-07,111.55,sdv-pii-95m9j,341999230610678
tbryant@example.com,False,SUITE,41.564777766269415,29 Mar 2020,2020-05-12,319.9,sdv-pii-pr77k,4083332031797037
tyler92@example.net,False,BASIC,12.637910305832298,08 Nov 2020,2020-04-18,134.95,sdv-pii-ldiyq,4338819840717712
